main_category,subcategory,sub_subcategory,author_name,date,volume,page
works,otherSeparateWorks,troilus,Percy,1594,IV,47
works,otherSeparateWorks,troilus,Lodge,1596,IV,47
works,otherSeparateWorks,troilus,Harvey,[1598-1600?],IV,48-52
works,otherSeparateWorks,troilus,Dekker,1599,IV,53
works,otherSeparateWorks,troilus,Unknown,[1600?],IV,55
works,otherSeparateWorks,troilus,H[arsnet],1603,IV,55
works,otherSeparateWorks,troilus,Shakespeare,[1603?],IV,56
works,otherSeparateWorks,troilus,[Fowler,[c. 1604],IV,56
works,otherSeparateWorks,troilus,[Chapman,1606,IV,57-60
works,otherSeparateWorks,troilus,Craig,1606,IV,60
works,otherSeparateWorks,troilus,Dekker,1607,IV,60
works,otherSeparateWorks,troilus,Heywood,1609,IV,61
works,otherSeparateWorks,troilus,Unknown,[c. 1610],IV,61
works,otherSeparateWorks,troilus,Unknown,1612,IV,62
works,otherSeparateWorks,troilus,Cornish,1516,IV,10-11
works,otherSeparateWorks,troilus,Grimoald,[a. 1559],I,95
works,otherSeparateWorks,troilus,Shakespeare,[1603?],IV,56
works,otherSeparateWorks,troilus,Theobald,1729-30,I,371
works,otherSeparateWorks,troilus,Shakespeare,[1596],IV,108
works,otherSeparateWorks,troilus,Shakespeare,[1599?],I,161
works,otherSeparateWorks,troilus,Dekker,1599,IV,53
works,otherSeparateWorks,troilus,Unknown,[c. 1610],IV,61
works,otherSeparateWorks,troilus,Unknown,[1566],IV,34
works,otherSeparateWorks,troilus,Unknown,[1597],I,144
works,otherSeparateWorks,troilus,Campbell,1819,II,112
works,otherSeparateWorks,troilus,Elyot,1533,I,80
works,otherSeparateWorks,troilus,Reynolds,[1632?],I,205
works,otherSeparateWorks,troilus,Atkinson,[1600?],IV,53
works,otherSeparateWorks,troilus,Rossetti,1873,III,116-117
works,otherSeparateWorks,troilus,Kittredge,1894,III,148
works,otherSeparateWorks,troilus,Paston,[1482?],I,60
works,otherSeparateWorks,troilus,Sidney,[1581?],I,122
works,otherSeparateWorks,troilus,Peele,[a. 1596?],I,143
works,otherSeparateWorks,troilus,Elyot,1533,I,80
works,otherSeparateWorks,troilus,Breton,1597,I,144
works,otherSeparateWorks,troilus,Lydgate,1412,I,24
works,otherSeparateWorks,troilus,Lydgate,1430,I,36-43
works,otherSeparateWorks,troilus,Peacham,1622,I,197
works,otherSeparateWorks,troilus,Coote,1883,III,133-134
works,otherSeparateWorks,troilus,Ker,1895,III,149-150
works,otherSeparateWorks,troilus,Southey,1812,II,59
works,otherSeparateWorks,troilus,Gower,1376-9,I,4-5
works,otherSeparateWorks,troilus,Usk,[c. 1387],I,8
works,otherSeparateWorks,troilus,Unknown,[a. 1400],I,14
works,otherSeparateWorks,troilus,Unknown,[c. 1440],I,44-45
works,otherSeparateWorks,troilus,Metham,1448-9,I,47
works,otherSeparateWorks,troilus,Unknown,[1450-60?],I,53
works,otherSeparateWorks,troilus,Hawes,1506,I,67
works,otherSeparateWorks,troilus,Skelton,1523,I,74
works,otherSeparateWorks,troilus,Unknown,[1525?],I,75
works,otherSeparateWorks,troilus,Wyer (?),[n.b. 1536],IV,107
works,otherSeparateWorks,troilus,Berthelet,1532,I,77
works,otherSeparateWorks,troilus,Roper,1535,I,81
